HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"","1","I. NATURAL OR CULTURED PEARLS AND PRECIOUS OR SEMIPRECIOUS STONES","","","","","",""
"7101","0","Pearls, natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for convenience of transport:","","","","","",""
"7101.10","1","Natural pearls:","","","","","",""
"7101.10.30.00","2","Graded and temporarily strung for convenience of transport","[""g""]","Free","","10%","",""
"7101.10.60.00","2","Other","[""g""]","Free","","10%","",""
"","1","Cultured pearls:","","","","","",""
"7101.21.00.00","2","Unworked","[""g""]","Free","","10%","",""
"7101.22","2","Worked:","","","","","",""
"7101.22.30.00","3","Graded and temporarily strung for convenience of transport","[""g""]","Free","","10%","",""
"7101.22.60.00","3","Other","[""g""]","Free","","10%","",""
"7102","0","Diamonds, whether or not worked, but not mounted or set:","","","","","",""
"7102.10.00.00","1","Unsorted","[""carat""]","Free","","Free","",""
"","1","Industrial:","","","","","",""
"7102.21","2","Unworked or simply sawn, cleaved or bruted:","","","","","",""
"7102.21.10","3","Miners' diamonds","","Free","","Free","",""
"7102.21.10.10","4","Carbonados","[""carat""]","","","","",""
"7102.21.10.20","4","Other","[""carat""]","","","","",""
"","3","Other:","","","","","",""
"7102.21.30.00","4","Simply sawn, cleaved or bruted","[""carat""]","Free","","30%","",""
"7102.21.40.00","4","Other","[""carat""]","Free","","Free","",""
"7102.29.00","2","Other","","Free","","Free","",""
"","3","Miners' diamonds:","","","","","",""
"7102.29.00.10","4","Carbonados","[""carat""]","","","","",""
"7102.29.00.20","4","Other","[""carat""]","","","","",""
"7102.29.00.50","3","Other","[""carat""]","","","","",""
"","1","Nonindustrial:","","","","","",""
"7102.31.00.00","2","Unworked or simply sawn, cleaved or bruted","[""carat""]","Free","","Free","",""
"7102.39.00","2","Other","","Free","","10%","",""
"7102.39.00.10","3","Weighing not over 0.5 carat each","[""carat""]","","","","",""
"7102.39.00.50","3","Weighing over 0.5 carat each","[""carat""]","","","","",""
"7103","0","Precious stones (other than diamonds) and semiprecious stones, whether or not worked or graded but not strung, mounted or set; ungraded precious stones (other than diamonds) and semiprecious stones, temporarily strung for convenience of transport:","","","","","",""
"7103.10","1","Unworked or simply sawn or roughly shaped:","","","","","",""
"7103.10.20.00","2","Unworked","[""carat""]","Free","","Free","",""
"7103.10.40.00","2","Other","[""carat""]","10.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"","1","Otherwise worked:","","","","","",""
"7103.91.00","2","Rubies, sapphires and emeralds","","Free","","10%","",""
"7103.91.00.10","3","Rubies","[""carat""]","","","","",""
"7103.91.00.20","3","Sapphires","[""carat""]","","","","",""
"7103.91.00.30","3","Emeralds","[""carat""]","","","","",""
"7103.99","2","Other:","","","","","",""
"7103.99.10.00","3","Cut but not set, and suitable for use in the manufacture of jewelry","[""carat""]","Free","","10%","",""
"7103.99.50.00","3","Other","[""carat""]","10.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"7104","0","Synthetic or reconstructed precious or semiprecious stones, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semiprecious stones, temporarily strung for convenience of transport:","","","","","",""
"7104.10.00.00","1","Piezo-electric quartz","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"","1","Other, unworked or simply sawn or roughly shaped:","","","","","",""
"7104.21.00.00","2","Diamonds","[""g""]","3%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","30%","",""
"7104.29.00.00","2","Other","[""g""]","3%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","30%","",""
"","1","Other:","","","","","",""
"7104.91","2","Diamonds:","","","","","",""
"7104.91.10.00","3","Cut but not set, and suitable for use in the manufacture of jewelry","[""No.""]","Free","","10%","",""
"7104.91.50.00","3","Other","[""g""]","6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"7104.99","2","Other:","","","","","",""
"7104.99.10.00","3","Cut but not set, and suitable for use in the manufacture of jewelry","[""No.""]","Free","","10%","",""
"7104.99.50.00","3","Other","[""g""]","6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"7105","0","Dust and powder of natural or synthetic precious or semi- precious stones:","","","","","",""
"7105.10.00","1","Of diamonds","","Free","","Free","",""
"","2","Natural:","","","","","",""
"7105.10.00.11","3","80 mesh or finer","[""carat""]","","","","",""
"7105.10.00.15","3","Other","[""carat""]","","","","",""
"","2","Synthetic:","","","","","",""
"7105.10.00.20","3","Coated with metal","[""carat""]","","","","",""
"","3","Other:","","","","","",""
"7105.10.00.30","4","80 mesh or finer","[""carat""]","","","","",""
"7105.10.00.50","4","Other","[""carat""]","","","","",""
"7105.90.00.00","1","Other","[""kg""]","Free","","2.2¢/kg","",""
"","1","II. PRECIOUS METALS AND METALS CLAD WITH PRECIOUS METAL","","","","","",""
"7106","0","Silver (including silver plated with gold or platinum), unwrought or in semimanufactured forms, or in powder form:","","","","","",""
"7106.10.00.00","1","Powder","[""g""]","Free","","Free","",""
"","1","Other:","","","","","",""
"7106.91","2","Unwrought:","","","","","",""
"7106.91.10","3","Bullion and dore","","Free","","Free","",""
"7106.91.10.10","4","Bullion","[""Ag g""]","","","","",""
"7106.91.10.20","4","Dore","[""Ag g""]","","","","",""
"7106.91.50.00","3","Other","[""g""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"7106.92","2","Semimanufactured:","","","","","",""
"7106.92.10.00","3","Rectangular or near rectangular shapes, containing 99.5 percent or more by weight of silver and not otherwise marked or decorated than with weight, purity, or other identifying information","[""g""]","Free","","Free","",""
"7106.92.50.00","3","Other","[""g""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"7107.00.00.00","0","Base metals clad with silver, not further worked than semi- manufactured","[""g""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"7108","0","Gold (including gold plated with platinum) unwrought or in semimanufactured forms, or in powder form:","","","","","",""
"","1","Nonmonetary:","","","","","",""
"7108.11.00.00","2","Powder","[""g""]","Free","","Free","",""
"7108.12","2","Other unwrought forms:","","","","","",""
"7108.12.10","3","Bullion and dore","","Free","","Free","",""
"","4","Bullion:","","","","","",""
"7108.12.10.13","5","Containing by weight not less than 99.95 percent of gold","[""Au g""]","","","","",""
"7108.12.10.17","5","Other","[""Au g""]","","","","",""
"7108.12.10.20","4","Dore","[""Au g""]","","","","",""
"7108.12.50","3","Other","","4.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"7108.12.50.10","4","Containing by weight not less than 99.95 percent of gold","[""Au g""]","","","","",""
"7108.12.50.50","4","Other","[""Au g""]","","","","",""
"7108.13","2","Other semimanufactured forms:","","","","","",""
"7108.13.10.00","3","Gold leaf","[""cm<sup>2<\/sup>"",""Au g""]","Free","","8%","",""
"","3","Other:","","","","","",""
"7108.13.55.00","4","Rectangular or near rectangular shapes, containing 99.5 percent or more by weight of gold and not otherwise marked or decorated than with weight, purity, or other identifying information","[""g""]","Free","","Free","",""
"7108.13.70.00","4","Other","[""g""]","4.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"7108.20.00.00","1","Monetary","[""g""]","Free","","Free","",""
"7109.00.00.00","0","Base metals or silver, clad with gold, not further worked than semimanufactured","[""g""]","6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"7110","0","Platinum, unwrought or in semimanufactured forms, or in powder form:","","","","","",""
"","1","Platinum:","","","","","",""
"7110.11.00","2","Unwrought or in powder form","","Free","","Free","",""
"7110.11.00.10","3","Grain and nuggets of the metal platinum","[""Pt g""]","","","","",""
"7110.11.00.20","3","Sponge of the metal platinum","[""Pt g""]","","","","",""
"7110.11.00.50","3","Other","[""Pt g""]","","","","",""
"7110.19.00.00","2","Other","[""Pt g""]","Free","","Free","",""
"","1","Palladium:","","","","","",""
"7110.21.00.00","2","Unwrought or in powder","[""Pd g""]","Free","","Free","",""
"7110.29.00.00","2","Other","[""Pd g""]","Free","","Free","",""
"","1","Rhodium:","","","","","",""
"7110.31.00.00","2","Unwrought or in powder form","[""Rh g""]","Free","","Free","",""
"7110.39.00.00","2","Other","[""Rh g""]","Free","","Free","",""
"","1","Iridium, osmium and ruthenium:","","","","","",""
"7110.41.00","2","Unwrought or in powder form","","Free","","Free","",""
"","3","Separately:","","","","","",""
"7110.41.00.10","4","Iridium","[""Ir g""]","","","","",""
"7110.41.00.20","4","Osmium","[""Os g""]","","","","",""
"7110.41.00.30","4","Ruthenium","[""Ru g""]","","","","",""
"7110.41.00.50","3","Other","[""g""]","","","","",""
"7110.49.00","2","Other","","Free","","Free","",""
"7110.49.00.10","3","Iridium separately","[""Ir g""]","","","","",""
"7110.49.00.50","3","Other","[""g""]","","","","",""
"7111.00.00.00","0","Base metals, silver or gold, clad with platinum, not further worked than semimanufactured","[""g""]","10%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"7112","0","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal or precious metal compounds, of a kind used principally for the recovery of precious metal other than goods of heading 8549:","","","","","",""
"7112.30.01.00","1","Ash containing precious metal or precious metal compounds","[""kg""]","Free","","Free","",""
"","1","Other:","","","","","",""
"7112.91.01.00","2","Of gold, including metal clad with gold but excluding sweepings containing other precious metals","[""g"",""Au g""]","Free","","Free","",""
"7112.92.01.00","2","Of platinum, including metal clad with platinum but excluding sweepings containing other precious metals","[""g"",""Pt g""]","Free","","Free","",""
"7112.99.01.00","2","Other","[""g""]","Free","","Free","",""
"","1","III. JEWELRY, GOLDSMITHS' AND SILVERSMITHS' WARES AND OTHER ARTICLES","","","","","",""
"7113","0","Articles of jewelry and parts thereof, of precious metal or of metal clad with precious metal:","","","","","",""
"","1","Of precious metal whether or not plated or clad with precious metal:","","","","","",""
"7113.11","2","Of silver, whether or not plated or clad with other precious metal:","","","","","",""
"7113.11.10.00","3","Rope, curb, cable, chain and similar articles produced in continuous lengths, all the foregoing, whether or not cut to specific lengths and whether or not set with imitation pearls or imitation gemstones, suitable for use in the manufacture of articles provided for in this heading","[""g""]","6.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"","3","Other:","","","","","",""
"7113.11.20.00","4","Valued not over $18 per dozen pieces or parts","[""g""]","13.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","110%","",""
"7113.11.50.00","4","Other","[""g""]","5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"7113.19","2","Of other precious metal, whether or not plated or clad with precious metal:","","","","","",""
"7113.19.10.00","3","Rope, curb, cable, chain and similar articles produced in continuous lengths, all the foregoing, whether or not cut to specific lengths and whether or not set with imitation pearls or imitation gemstones, suitable for use in the manufacture of articles provided for in this heading","[""g""]","7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"","3","Other:","","","","","",""
"","4","Necklaces and neck chains, of gold:","","","","","",""
"7113.19.21.00","5","Rope","[""g""]","5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"7113.19.25.00","5","Mixed link","[""g""]","5.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"7113.19.29.00","5","Other","[""g""]","5.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"7113.19.30.00","4","Clasps and parts thereof","[""g""]","5.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"7113.19.50","4","Other","","5.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"","5","Of ISO standard platinum:","","","","","",""
"7113.19.50.21","6","Necklaces and neck chains","[""pcs ""]","","","","",""
"7113.19.50.25","6","Rings","[""pcs""]","","","","",""
"7113.19.50.30","6","Earrings","[""pcs""]","","","","",""
"7113.19.50.45","6","Other","[""pcs ""]","","","","",""
"7113.19.50.90","5","Other","[""g""]","","","","",""
"7113.20","1","Of base metal clad with precious metal:","","","","","",""
"7113.20.10.00","2","Rope, curb, cable, chain and similar articles produced in continuous lengths, all the foregoing, whether or not cut to specific lengths and whether or not set with imitation pearls or imitation gemstones, suitable for use in the manufacture of articles provided for in this heading","[""g""]","7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"","2","Other:","","","","","",""
"","3","Necklaces and neck chains, clad with gold:","","","","","",""
"7113.20.21.00","4","Rope","[""g""]","5.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"7113.20.25.00","4","Mixed link","[""g""]","5.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"7113.20.29.00","4","Other","[""g""]","5.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"7113.20.30.00","3","Clasps and parts thereof","[""g""]","5.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"7113.20.50.00","3","Other","[""g""]","5.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"7114","0","Articles of goldsmiths' or silversmiths' wares and parts thereof, of precious metal or of metal clad with precious metal:","","","","","",""
"","1","Of precious metal whether or not plated or clad with precious metal:","","","","","",""
"7114.11","2","Of silver, whether or not plated or clad with other precious metal:","","","","","",""
"7114.11.10.00","3","Knives with silver handles","[""No.""]","2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","16¢ each + 45%","",""
"7114.11.20.00","3","Forks with silver handles","[""No.""]","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","16¢ each + 45%","",""
"","3","Spoons and ladles:","","","","","",""
"7114.11.30.00","4","With sterling silver handles","[""No.""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"7114.11.40.00","4","Other","[""No.""]","3.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"7114.11.45.00","3","Sets of the foregoing which include two or more knives, forks, spoons or ladles","[""pcs""]","3%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","65%","",""
"","3","Articles not elsewhere specified or included of a type used for household, table or kitchen use; toilet and sanitary wares; all the foregoing and parts thereof, of silver:","","","","","",""
"7114.11.50.00","4","Sterling silver tableware","[""g""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"7114.11.60.00","4","Other","[""g""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"7114.11.70.00","3","Other","[""g""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"7114.19.00.00","2","Of other precious metal whether or not plated or clad with precious metal","[""g""]","7.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"7114.20.00","1","Of base metal clad with precious metal","","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"7114.20.00.40","2","Articles not elsewhere specified or included, of a type used for household, table or kitchen use; toilet or sanitary ware","[""g""]","","","","",""
"7114.20.00.60","2","Other","[""g""]","","","","",""
"7115","0","Other articles of precious metal or of metal clad with precious metal:","","","","","",""
"7115.10.00.00","1","Catalysts in the form of wire cloth or grill, of platinum","[""g""]","4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"7115.90","1","Other:","","","","","",""
"7115.90.05","2","Articles of precious metal, in rectangular or near rectangular shapes, containing 99.5 percent or more by weight of a precious metal and not otherwise marked or decorated than with weight, purity, or other identifying information","","Free","","Free","",""
"7115.90.05.30","3","Of gold","[""g""]","","","","",""
"7115.90.05.60","3","Of silver","[""g""]","","","","",""
"7115.90.05.90","3","Other","[""g""]","","","","",""
"","2","Other:","","","","","",""
"7115.90.30.00","3","Of gold, including metal clad with gold","[""g""]","3.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","110%","",""
"7115.90.40.00","3","Of silver, including metal clad with silver","[""g""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"7115.90.60.00","3","Other","[""g""]","4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"7116","0","Articles of natural or cultured pearls, precious or semiprecious stones (natural, synthetic or reconstructed):","","","","","",""
"7116.10","1","Of natural or cultured pearls:","","","","","",""
"7116.10.10.00","2","Natural","[""g""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"7116.10.25.00","2","Cultured","[""g""]","5.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","110%","",""
"7116.20","1","Of precious or semiprecious stones (natural, synthetic or reconstructed):","","","","","",""
"","2","Articles of jewelry:","","","","","",""
"7116.20.05.00","3","Valued not over $40 per piece","[""g""]","3.3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"7116.20.15.00","3","Other","[""g""]","6.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"","2","Other:","","","","","",""
"","3","Of semiprecious stones (except rock crystal):","","","","","",""
"7116.20.30.00","4","Graded semiprecious stones strung temporarily for convenience of transport","[""g""]","2.1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"7116.20.35.00","4","Figurines of semiprecious stone","[""No.""]","4.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"7116.20.40.00","4","Other","[""No.""]","10.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"7116.20.50.00","3","Other","[""No.""]","Free","","50%","",""
"7117","0","Imitation jewelry:","","","","","",""
"","1","Of base metal, whether or not plated with precious metal:","","","","","",""
"7117.11.00.00","2","Cuff links and studs","[""No.""]","8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","110%","",""
"7117.19","2","Other:","","","","","",""
"","3","Rope, curb, cable, chain and similar articles produced in continuous lengths, all the foregoing, whether or not cut to specific lengths and whether or not set with imitation pearls or imitation gemstones, suitable for use in the manufacture of articles provided for in this heading:","","","","","",""
"","4","Valued not over 33 cents per meter:","","","","","",""
"7117.19.05.00","5","Toy jewelry valued not over 8 cents per piece","[""kg""]","Free","","80%","",""
"7117.19.15.00","5","Other","[""kg""]","8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"7117.19.20.00","4","Valued over 33 cents per meter","[""kg""]","11%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","110%","",""
"7117.19.30.00","3","Religious articles of a purely devotional charac- ter designed to be worn on apparel or carried on or about or attached to the person","[""kg""]","3.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"","3","Other:","","","","","",""
"7117.19.60.00","4","Toy jewelry valued not over 8 cents per piece","[""kg""]","Free","","110%","",""
"7117.19.90.00","4","Other","[""kg""]","11%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","110%","",""
"7117.90","1","Other:","","","","","",""
"7117.90.10.00","2","Necklaces, valued not over 30 cents per dozen, composed wholly of plastic shapes mounted on fiber string","[""doz.""]","Free","","Free","",""
"","2","Religious articles of a purely devotional character designed to be worn on apparel or carried on or about or attached to the person:","","","","","",""
"7117.90.20.00","3","Rosaries and chaplets","[""kg""]","3.3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"7117.90.30.00","3","Other","[""kg""]","3.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"","2","Other:","","","","","",""
"","3","Valued not over 20 cents per dozen pieces or parts:","","","","","",""
"7117.90.45.00","4","Toy jewelry (except parts)","[""kg""]","Free","","45%","",""
"7117.90.55.00","4","Other","[""kg""]","7.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"","3","Valued over 20 cents per dozen pieces or parts:","","","","","",""
"7117.90.60.00","4","Toy jewelry (except parts) valued not over 8 cents per piece","[""kg""]","Free","","110%","",""
"","4","Other:","","","","","",""
"7117.90.75.00","5","Of plastics","[""kg""]","Free","","110%","",""
"7117.90.90.00","5","Other","[""kg""]","11%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","110%","",""
"7118","0","Coin:","","","","","",""
"7118.10.00.00","1","Coin (other than gold coin), not being legal tender","[""g""]","Free","","Free","",""
"7118.90.00","1","Other","","Free","","Free","",""
"","2","Gold:","","","","","",""
"7118.90.00.11","3","Canadian maple leaf","[""g"",""Au g""]","","","","",""
"7118.90.00.19","3","Other","[""g"",""Au g""]","","","","",""
"7118.90.00.20","2","Platinum","[""g"",""Pt g""]","","","","",""
"7118.90.00.55","2","Other","[""g""]","","","","",""
"","1","I. PRIMARY MATERIALS; PRODUCTS IN GRANULAR OR POWDER FORM","","","","","",""
"7201","0","Pig iron and spiegeleisen in pigs, blocks or other primary forms:","","","","","",""
"7201.10.00.00","1","Nonalloy pig iron containing by weight 0.5 percent or less of phosphorus","[""t""]","Free","","$1.11/t","",""
"7201.20.00.00","1","Nonalloy pig iron containing by weight more than 0.5 percent of phosphorus","[""t""]","Free","","$1.11/t","",""
"7201.50","1","Alloy pig iron; spiegeleisen:","","","","","",""
"7201.50.30.00","2","Alloy pig iron","[""t""]","Free","","$1.11/t","",""
"7201.50.60.00","2","Spiegeleisen","[""t""]","Free","","0.5%","",""
"7202","0","Ferroalloys:","","","","","",""
"","1","Ferromanganese:","","","","","",""
"7202.11","2","Containing by weight more than 2 percent of carbon:","","","","","",""
"7202.11.10.00","3","Containing by weight more than 2 percent but not more than 4 percent of carbon","[""kg"",""Mn kg""]","1.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.5%","",""
"7202.11.50.00","3","Containing by weight more than 4 percent of carbon","[""kg"",""Mn kg""]","1.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","10.5%","",""
"7202.19","2","Other:","","","","","",""
"7202.19.10.00","3","Containing by weight not more than 1 percent of carbon","[""kg"",""Mn kg""]","2.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","22%","",""
"7202.19.50.00","3","Containing by weight more than 1 percent but not more than 2 percent of carbon","[""kg"",""Mn kg""]","1.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.5%","",""
"","1","Ferrosilicon:","","","","","",""
"7202.21","2","Containing by weight more than 55 percent of silicon:","","","","","",""
"","3","Containing by weight more than 55 percent but not more than 80 percent of silicon:","","","","","",""
"7202.21.10.00","4","Containing by weight more than 3 percent of calcium","[""kg"",""Si kg""]","1.1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11.5%","",""
"7202.21.50.00","4","Other","[""kg"",""Si kg""]","1.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11.5%","",""
"7202.21.75.00","3","Containing by weight more than 80 percent but not more than 90 percent of silicon","[""kg"",""Si kg""]","1.9%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","9%","",""
"7202.21.90.00","3","Containing by weight more than 90 percent of silicon","[""kg"",""Si kg""]","5.8%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"7202.29.00","2","Other","","Free","","4.4¢/kg on silicon content","",""
"7202.29.00.10","3","Containing by weight over 2 percent of magnesium","[""kg"",""Si kg""]","","","","",""
"7202.29.00.50","3","Other","[""kg"",""Si kg""]","","","","",""
