HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"7202.30.00.00","1","Ferrosilicon manganese","[""kg"",""Mn kg""]","3.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","23%","",""
"","1","Ferrochromium:","","","","","",""
"7202.41.00.00","2","Containing by weight more than 4 percent of carbon","[""kg"",""Cr kg""]","1.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","7.5%","",""
"7202.49","2","Other:","","","","","",""
"7202.49.10.00","3","Containing by weight more than 3 percent of carbon","[""kg"",""Cr kg""]","1.9%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","7.5%","",""
"7202.49.50","3","Other","","3.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"7202.49.50.10","4","Containing by weight more than 0.5 percent of carbon","[""kg"",""Cr kg""]","","","","",""
"7202.49.50.90","4","Other","[""kg"",""Cr kg""]","","","","",""
"7202.50.00.00","1","Ferrosilicon chromium","[""kg"",""Cr kg""]","10%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7202.60.00.00","1","Ferronickel","[""kg"",""Ni kg""]","Free","","6.6¢/kg","",""
