HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"1103.13.00.60","3","Other","[""kg""]","","","","",""
"1103.19","2","Of other cereals:","","","","","",""
"1103.19.12.00","3","Of oats","[""kg""]","0.8¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","1.8¢/kg","",""
"1103.19.14.00","3","Of rice","[""kg""]","0.09¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","1.4¢/kg","",""
"1103.19.90.00","3","Of other cereals","[""kg""]","9%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","20%","",""
"1103.20.00","1","Pellets","","Free","","10%","",""
"1103.20.00.10","2","Of wheat","[""kg""]","","","","",""
"1103.20.00.90","2","Of other cereals","[""kg""]","","","","",""
"1104","0","Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 1006; germ of cereals, whole, rolled, flaked or ground:","","","","","",""
"","1","Rolled or flaked grains:","","","","","",""
"1104.12.00.00","2","Of oats","[""kg""]","1.2¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","1.8¢/kg","",""
"1104.19","2","Of other cereals:","","","","","",""
"1104.19.10.00","3","Of barley","[""kg""]","2¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","4.4¢/kg","",""
"1104.19.90.00","3","Other","[""kg""]","0.45¢/kg","Free (A,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","1¢/kg","",""
"","1","Other worked grains (for example, hulled, pearled, sliced or kibbled):","","","","","",""
"1104.22.00.00","2","Of oats","[""kg""]","0.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11%","",""
"1104.23.00.00","2","Of corn (maize)","[""kg""]","0.45¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","1¢/kg","",""
"1104.29","2","Of other cereals:","","","","","",""
"1104.29.10.00","3","Of barley","[""kg""]","1.2%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","17%","",""
"1104.29.90.00","3","Other","[""kg""]","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1104.30.00.00","1","Germ of cereals, whole, rolled, flaked or ground","[""kg""]","4.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1105","0","Flour, meal, powder, flakes, granules and pellets of potatoes:","","","","","",""
"1105.10.00.00","1","Flour, meal and powder","[""kg""]","1.7¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5.5¢/kg","",""
"1105.20.00.00","1","Flakes, granules and pellets","[""kg""]","1.3¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","6.1¢/kg","",""
"1106","0","Flour, meal and powder of the dried leguminous vegetables of heading 0713, of sago or of roots or tubers of heading 0714 or of the products of chapter 8:","","","","","",""
"1106.10.00.00","1","Of the dried leguminous vegetables of heading 0713","[""kg""]","8.3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"1106.20","1","Of sago or of roots or tubers of heading 0714:","","","","","",""
"1106.20.10.00","2","Of Chinese water chestnuts","[""kg""]","8.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"1106.20.90.00","2","Other","[""kg""]","Free","","Free","",""
"1106.30","1","Of the products of chapter 8:","","","","","",""
"1106.30.20.00","2","Banana and plantain","[""kg""]","2.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1106.30.40.00","2","Other","[""kg""]","9.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1107","0","Malt, whether or not roasted:","","","","","",""
"1107.10.00.00","1","Not roasted","[""kg""]","0.3¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","0.88¢/kg","",""
"1107.20.00.00","1","Roasted","[""kg""]","0.42¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","0.88¢/kg","",""
"1108","0","Starches; inulin:","","","","","",""
"","1","Starches:","","","","","",""
"1108.11.00","2","Wheat starch","","0.54¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","3.3¢/kg","",""
"1108.11.00.10","3","For food use","[""kg""]","","","","",""
"1108.11.00.90","3","Other","[""kg""]","","","","",""
"1108.12.00","2","Corn (maize) starch","","0.54¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","3.3¢/kg","",""
"1108.12.00.10","3","For food use","[""kg""]","","","","",""
"1108.12.00.90","3","Other","[""kg""]","","","","",""
"1108.13.00","2","Potato starch","","0.56¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","5.5¢/kg","",""
"1108.13.00.10","3","For human consumption","[""kg""]","","","","",""
"1108.13.00.90","3","Other","[""kg""]","","","","",""
"1108.14.00.00","2","Cassava (manioc) starch","[""kg""]","Free","","Free","",""
"1108.19.00","2","Other starches","","Free","","Free","",""
"1108.19.00.10","3","Cereal starches for non-food use","[""kg""]","","","","",""
"1108.19.00.90","3","Other","[""kg""]","","","","",""
"1108.20.00.00","1","Inulin","[""kg""]","2.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"1109.00","0","Wheat gluten, whether or not dried:","","","","","",""
"1109.00.10.00","1","To be used as animal feed","[""kg""]","1.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1109.00.90","1","Other","[""kg""]","6.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1109.00.90.10","2","Certified organic","[""kg""]","","","","",""
"1109.00.90.20","2","Other","[""kg""]","","","","",""
"1201","0","Soybeans, whether or not broken:","","","","","",""
"1201.10.00.00","1","Seed","[""kg""]","Free","","4.4¢/kg","",""
"1201.90.00","1","Other","","Free","","4.4¢/kg","",""
"1201.90.00.05","2","Seeds of a kind used as oil stock","[""kg""]","","","","",""
"","2","Other:","","","","","",""
"1201.90.00.10","3","Certified organic","[""kg""]","","","","",""
"1201.90.00.90","3","Other","[""kg""]","","","","",""
"1202","0","Peanuts (ground-nuts), not roasted or otherwise cooked, whether or not shelled or broken:","","","","","",""
"1202.30","1","Seed:","","","","","",""
"1202.30.05.00","2","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","6.6¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","15.4¢/kg","",""
"1202.30.40.00","2","Described in additional U.S. note 2 to this chapter and entered pursuant to its provisions","[""kg""]","6.6¢/kg","Free (A*,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg","",""
"1202.30.80.00","2","Other","[""kg""]","131.8%","Free (AU,BH,CL,JO,KR,MA,OM,P,P+,PE,S,SG) 8.7% (CO) 13.1% (PA) See 9908.12.01 (IL)","155%","",""
"","1","Other:","","","","","",""
"1202.41","2","In shell:","","","","","",""
"1202.41.05","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","","9.35¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","9.35¢/kg","",""
"1202.41.05.20","4","For use as oil stock","[""kg""]","","","","",""
"1202.41.05.40","4","Other","[""kg""]","","","","",""
"1202.41.40","3","Described in additional U.S. note 2 to this chapter and entered pursuant to its provisions","","9.35¢/kg","Free (A*,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","9.35¢/kg","",""
"1202.41.40.20","4","For use as oil stock","[""kg""]","","","","",""
"1202.41.40.40","4","Other","[""kg""]","","","","",""
"1202.41.80","3","Other","","163.8%","Free (AU,BH,CL,JO,KR,MA,OM,P,P+,PE,S,SG) 10.9% (CO) 16.3% (PA) See 9908.12.01 (IL)","192.7%","",""
"1202.41.80.20","4","For use as oil stock","[""kg""]","","","","",""
"1202.41.80.40","4","Other","[""kg""]","","","","",""
"","1","Other:","","","","","",""
"1202.42","2","Shelled, whether or not broken:","","","","","",""
"","3","Dry-blanched:","","","","","",""
"1202.42.10","4","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","","6.6¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","15.4¢/kg","",""
"1202.42.10.20","5","For use as oil stock","[""kg""]","","","","",""
"1202.42.10.40","5","Other","[""kg""]","","","","",""
"1202.42.15","4","Described in additional U.S. note 2 to this chapter and entered pursuant to its provisions","","6.6¢/kg","Free (A*,BH,CA,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","15.4¢/kg","",""
"1202.42.15.20","5","For use as oil stock","[""kg""]","","","","",""
"1202.42.15.40","5","Other","[""kg""]","","","","",""
"1202.42.20","4","Other","","131.8%","Free (AU,BH,CL,JO,KR,MA,OM,P,PE,S,SG) 8.7% (CO) 13.1% (PA) See 9908.12.01 (IL)","155%","",""
"1202.42.20.20","5","For use as oil stock","[""kg""]","","","","",""
"1202.42.20.40","5","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"1202.42.50","4","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","","6.6¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","15.4¢/kg","",""
"1202.42.50.20","5","For use as oil stock","[""kg""]","","","","",""
"1202.42.50.40","5","Other","[""kg""]","","","","",""
"1202.42.60","4","Described in additional U.S. note 2 to this chapter and entered pursuant to its provisions","","6.6¢/kg","Free (A*,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg","",""
"1202.42.60.20","5","For use as oil stock","[""kg""]","","","","",""
"1202.42.60.40","5","Other","[""kg""]","","","","",""
"1202.42.90","4","Other","","131.8%","Free (AU,BH,CL,JO,KR,MA,OM,P,PE,S,SG) 8.7% (CO) 13.1% (PA) See 9908.12.01 (IL)","155%","",""
"1202.42.90.20","5","For use as oil stock","[""kg""]","","","","",""
"1202.42.90.40","5","Other","[""kg""]","","","","",""
"1203.00.00.00","0","Copra","[""kg""]","Free","","Free","",""
"1204.00.00","0","Flaxseed (linseed), whether or not broken","","0.39¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","2.55¢/kg","",""
"1204.00.00.10","1","For sowing","[""kg""]","","","","",""
"","1","For use as oil stock:","","","","","",""
"1204.00.00.25","2","Certified organic","[""kg""]","","","","",""
"1204.00.00.35","2","Other","[""kg""]","","","","",""
"","1","Other:","","","","","",""
"1204.00.00.55","2","Certified organic","[""kg""]","","","","",""
"1204.00.00.75","2","Other","[""kg""]","","","","",""
"1205","0","Rape or colza seeds, whether or not broken:","","","","","",""
"1205.10.00","1","Low erucic acid rape or colza seeds","","0.58¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","4.4¢/kg","",""
"1205.10.00.10","2","For sowing","[""kg""]","","","","",""
"1205.10.00.20","2","For use as oil stock","[""kg""]","","","","",""
"1205.10.00.90","2","Other","[""kg""]","","","","",""
"1205.90.00","1","Other","","0.58¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","4.4¢/kg","",""
"1205.90.00.10","2","For sowing","[""kg""]","","","","",""
"1205.90.00.20","2","For use as oil stock","[""kg""]","","","","",""
"1205.90.00.90","2","Other","[""kg""]","","","","",""
"1206.00.00","0","Sunflower seeds, whether or not broken","","Free","","4.4¢/kg","",""
"1206.00.00.20","1","For use as oil stock","[""kg""]","","","","",""
"1206.00.00.31","1","For sowing","[""kg""]","","","","",""
"","1","Other:","","","","","",""
"","2","For human use:","","","","","",""
"","3","In-shell:","","","","","",""
"1206.00.00.65","4","Certified organic","[""kg""]","","","","",""
"1206.00.00.70","4","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"1206.00.00.75","4","Certified organic","[""kg""]","","","","",""
"1206.00.00.80","4","Other","[""kg""]","","","","",""
"1206.00.00.90","2","Other","[""kg""]","","","","",""
"1207","0","Other oil seeds and oleaginous fruits, whether or not broken:","","","","","",""
"1207.10.00.00","1","Palm nuts and kernels","[""kg""]","Free","","Free","",""
"","1","Cotton seeds:","","","","","",""
"1207.21.00.00","2","Seed","[""kg""]","0.47¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","0.73¢/kg","",""
"1207.29.00.00","2","Other","[""kg""]","0.47¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","0.73¢/kg","",""
"1207.30.00.00","1","Castor oil seeds","[""kg""]","Free","","Free","",""
"1207.40.00","1","Sesame seeds","","Free","","2.6¢/kg","",""
"1207.40.00.10","2","Certified organic","[""kg""]","","","","",""
"1207.40.00.90","2","Other","[""kg""]","","","","",""
"1207.50.00.00","1","Mustard seeds","[""kg""]","Free","","4.4¢/kg","",""
"1207.60.00.00","1","Safflower (<u>Carthamus</u> <u>tinctorius</u>) seeds","[""kg""]","Free","","Free","",""
"1207.70.00","1","Melon seeds","","0.83¢/kg","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","13.2¢/kg","",""
"1207.70.00.20","2","Cantaloupe","[""kg""]","","","","",""
"1207.70.00.40","2","Watermelon","[""kg""]","","","","",""
"1207.70.00.75","2","Other","[""kg""]","","","","",""
"","1","Other:","","","","","",""
"1207.91.00.00","2","Poppy seeds","[""kg""]","0.06¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","0.7¢/kg","",""
"1207.99.03","2","Other","","Free","","Free","",""
"1207.99.03.10","3","Niger seed","[""kg""]","","","","",""
"","3","Hemp seed:","","","","","",""
"1207.99.03.40","4","For sowing","[""kg""]","","","","",""
"1207.99.03.60","4","Other","[""kg""]","","","","",""
"1207.99.03.91","3","Other","[""kg""]","","","","",""
"1208","0","Flours and meals of oil seeds or oleaginous fruits, other than those of mustard:","","","","","",""
"1208.10.00","1","Of soybeans","","1.9%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","20%","",""
"1208.10.00.10","2","Certified organic","[""kg""]","","","","",""
"1208.10.00.90","2","Other","[""kg""]","","","","",""
"1208.90.00.00","1","Other","[""kg""]","1.4%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","20%","",""
"1209","0","Seeds, fruits and spores of a kind used for sowing:","","","","","",""
"1209.10.00.00","1","Sugar beet seeds","[""kg""]","Free","","Free","",""
"","1","Seeds of forage plants:","","","","","",""
"1209.21.00","2","Alfalfa (lucerne) seeds","","1.5¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","17.6¢/kg","",""
"1209.21.00.20","3","Certified","[""kg""]","","","","",""
"1209.21.00.40","3","Other","[""kg""]","","","","",""
"1209.22","2","Clover (<u>Trifolium</u> spp.) seeds:","","","","","",""
"1209.22.20.00","3","White and ladino","[""kg""]","1.6¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","13¢/kg","",""
"1209.22.40","3","Other","","Free","","18¢/kg","",""
"1209.22.40.20","4","Alsike","[""kg""]","","","","",""
"1209.22.40.30","4","Crimson","[""kg""]","","","","",""
"","4","Red:","","","","","",""
"1209.22.40.41","5","Double cut","[""kg""]","","","","",""
"1209.22.40.49","5","Other","[""kg""]","","","","",""
"1209.22.40.60","4","Sweet","[""kg""]","","","","",""
"1209.22.40.95","4","Other","[""kg""]","","","","",""
"1209.23.00","2","Fescue seeds","","Free","","4.4¢/kg","",""
"1209.23.00.20","3","Tall","[""kg""]","","","","",""
"","3","Creeping red:","","","","","",""
"1209.23.00.31","4","Certified","[""kg""]","","","","",""
"1209.23.00.39","4","Other","[""kg""]","","","","",""
"1209.23.00.60","3","Meadow","[""kg""]","","","","",""
"1209.23.00.90","3","Other","[""kg""]","","","","",""
"1209.24.00.00","2","Kentucky blue grass (<u>Poa</u> <u>pratensis</u> <u>L</u>.) seeds","[""kg""]","1.2¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","11¢/kg","",""
"1209.25.00","2","Rye grass (<u>Lolium</u> <u>multiflorium</u> <u>Lam</u>., <u>Lolium</u> <u>perenne</u> <u>L</u>.) seeds","","1.4¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","6.6¢/kg","",""
"1209.25.00.20","3","Annual","[""kg""]","","","","",""
"1209.25.00.40","3","Perennial","[""kg""]","","","","",""
"1209.29","2","Other:","","","","","",""
"1209.29.10.00","3","Beet","[""kg""]","Free","","9¢/kg","",""
"1209.29.91","3","Other","","Free","","8%","",""
"1209.29.91.20","4","Bent grass (genus <u><i>Agrostis</i></u>)","[""kg""]","","","","",""
"","4","Bermuda grass for sowing:","","","","","",""
"1209.29.91.25","5","Husked","[""kg""]","","","","",""
"1209.29.91.26","5","Other","[""kg""]","","","","",""
"1209.29.91.30","4","Birdsfoot trefoil","[""kg""]","","","","",""
"","4","Bromegrass:","","","","","",""
"1209.29.91.36","5","Meadow","[""kg""]","","","","",""
"1209.29.91.37","5","Smooth","[""kg""]","","","","",""
"1209.29.91.38","5","Other","[""kg""]","","","","",""
"1209.29.91.40","4","Orchard grass","[""kg""]","","","","",""
"1209.29.91.60","4","Sudan grass","[""kg""]","","","","",""
"","4","Wheatgrass:","","","","","",""
"1209.29.91.71","5","Crested","[""kg""]","","","","",""
"1209.29.91.74","5","Other","[""kg""]","","","","",""
"1209.29.91.76","4","Wild rye","[""kg""]","","","","",""
"1209.29.91.79","4","Other grass","[""kg""]","","","","",""
"1209.29.91.96","4","Other","[""kg""]","","","","",""
"1209.30.00","1","Seeds of herbaceous plants cultivated principally for their flowers","","1¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","13.2¢/kg","",""
"1209.30.00.10","2","Petunia","[""kg""]","","","","",""
"1209.30.00.90","2","Other","[""kg""]","","","","",""
"","1","Other:","","","","","",""
"1209.91","2","Vegetable seeds:","","","","","",""
"1209.91.10.00","3","Cauliflower","[""kg""]","5.9¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","55¢/kg","",""
"1209.91.20.00","3","Celery","[""kg""]","Free","","4.4¢/kg","",""
"1209.91.40.00","3","Onion","[""kg""]","Free","","33¢/kg","",""
"1209.91.50.00","3","Parsley","[""kg""]","0.68¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","4.4¢/kg","",""
"1209.91.60","3","Pepper","","Free","","33¢/kg","",""
"1209.91.60.10","4","Sweet pepper","[""kg""]","","","","",""
"1209.91.60.90","4","Other","[""kg""]","","","","",""
"1209.91.80","3","Other","","1.5¢/kg","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","13.2¢/kg","",""
"1209.91.80.05","4","Broccoli","[""kg""]","","","","",""
"","4","Cabbage:","","","","","",""
"1209.91.80.08","5","Green cabbage","[""kg""]","","","","",""
"1209.91.80.09","5","Other","[""kg""]","","","","",""
"1209.91.80.10","4","Carrot","[""kg""]","","","","",""
"1209.91.80.20","4","Radish","[""kg""]","","","","",""
"1209.91.80.30","4","Spinach","[""kg""]","","","","",""
"1209.91.80.40","4","Cucumber","[""kg""]","","","","",""
"1209.91.80.45","4","Kale","[""kg""]","","","","",""
"1209.91.80.47","4","Kohlrabi","[""kg""]","","","","",""
"1209.91.80.50","4","Lettuce","[""kg""]","","","","",""
"1209.91.80.54","4","Parsnip","[""kg""]","","","","",""
"1209.91.80.55","4","Pumpkin","[""kg""]","","","","",""
"1209.91.80.60","4","Squash","[""kg""]","","","","",""
"1209.91.80.70","4","Tomato","[""kg""]","","","","",""
"1209.91.80.74","4","Turnip","[""kg""]","","","","",""
"1209.91.80.90","4","Other","[""kg""]","","","","",""
"1209.99","2","Other:","","","","","",""
"1209.99.20.00","3","Tree and shrub","[""kg""]","Free","","17.6¢/kg","",""
"1209.99.41","3","Other","","0.83¢/kg","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","13.2¢/kg","",""
"1209.99.41.70","4","Tobacco","[""kg""]","","","","",""
"1209.99.41.90","4","Other","[""kg""]","","","","",""
"1210","0","Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin:","","","","","",""
"1210.10.00.00","1","Hop cones, neither ground nor powdered nor in the form of pellets","[""kg""]","13.2¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","53¢/kg","",""
"1210.20.00","1","Hop cones, ground, powdered or in the form of pellets; lupulin","","13.2¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","53¢/kg","",""
"1210.20.00.20","2","Hop cone pellets","[""kg""]","","","","",""
"1210.20.00.40","2","Other","[""kg""]","","","","",""
"1211","0","Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered:","","","","","",""
"1211.20","1","Ginseng roots:","","","","","",""
"1211.20.10","2","Fresh or dried","","Free","","Free","",""
"1211.20.10.20","3","Cultivated","[""kg""]","","","","",""
"1211.20.10.90","3","Wild","[""kg""]","","","","",""
"1211.20.15.00","2","Chilled or frozen","[""kg""]","6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"1211.30.00.00","1","Coca leaf","[""kg""]","Free","","Free","",""
"1211.40.00.00","1","Poppy straw","[""kg""]","Free","","Free","",""
"1211.50.00.00","1","Ephedra","[""kg""]","Free","","Free","",""
"1211.60.00.00","1","Bark of African cherry (<i>Prunus Africana</i>)","[""kg""]","Free","","Free","",""
"1211.90","1","Other:","","","","","",""
"","2","Mint leaves:","","","","","",""
"1211.90.20.00","3","Crude or not manufactured","[""kg""]","Free","","Free","",""
"1211.90.40","3","Other","","4.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"1211.90.40.20","4","Herbal teas and herbal infusions (single species, unmixed)","[""kg""]","","","","",""
"1211.90.40.40","4","Other","[""kg""]","","","","",""
"1211.90.60.00","2","Tonka beans","[""kg""]","6.6¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55¢/kg","",""
"","2","Other:","","","","","",""
"1211.90.89","3","Fresh or dried","","Free","","Free","",""
"","4","Substances having anesthetic, prophylactic or therapeutic properties and principally used as medicaments or as ingredients in medicaments:","","","","","",""
"1211.90.89.20","5","Psyllium seed husks","[""kg""]","","","","",""
"1211.90.89.31","5","Other","[""kg""]","","","","",""
"1211.90.89.40","4","Basil","[""kg""]","","","","",""
"1211.90.89.50","4","Sage","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"1211.90.89.80","5","Herbal teas and herbal infusions (single species, unmixed)","[""kg""]","","","","",""
"1211.90.89.90","5","Other","[""kg""]","","","","",""
"1211.90.93.00","3","Chilled or frozen","[""kg""]","6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"1212","0","Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety <u>Cichorium</u> <u>intybus</u> <u>sativum</u>) of a kind used primarily for human consumption, not elsewhere specified or included:","","","","","",""
"","1","Seaweeds and other algae:","","","","","",""
"1212.21.00.00","2","Fit for human consumption","[""kg""]","Free","","Free","",""
"1212.29.00.00","2","Other","[""kg""]","Free","","Free","",""
"","1","Other:","","","","","",""
