HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"1101.00.00","0","Wheat or meslin flour","","0.7¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","2.3¢/kg","",""
"1101.00.00.10","1","Hard spring wheat","[""kg""]","","","","",""
"1101.00.00.20","1","Durum wheat","[""kg""]","","","","",""
"1101.00.00.30","1","White winter wheat","[""kg""]","","","","",""
"","1","Other:","","","","","",""
"1101.00.00.50","2","Certified organic","[""kg""]","","","","",""
"1101.00.00.60","2","Other","[""kg""]","","","","",""
"1102","0","Cereal flours other than of wheat or meslin:","","","","","",""
"1102.20.00.00","1","Corn (maize) flour","[""kg""]","0.3¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","1.1¢/kg","",""
"1102.90","1","Other:","","","","","",""
"1102.90.20.00","2","Buckwheat flour","[""kg""]","Free","","1.1¢/kg","",""
"1102.90.25.00","2","Rice flour","[""kg""]","0.09¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","1.4¢/kg","",""
"1102.90.27.00","2","Rye flour","[""kg""]","0.23¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","1¢/kg","",""
"","2","Other:","","","","","",""
"1102.90.30.00","3","Mixtures","[""kg""]","12.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1102.90.60.00","3","Other","[""kg""]","9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1103","0","Cereal groats, meal and pellets:","","","","","",""
"","1","Groats and meal:","","","","","",""
"1103.11.00","2","Of wheat","","0.5¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","2.3¢/kg","",""
"1103.11.00.20","3","Semolina","[""kg""]","","","","",""
"1103.11.00.40","3","Other","[""kg""]","","","","",""
"1103.13.00","2","Of corn (maize)","","0.3¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","1.1¢/kg","",""
"1103.13.00.20","3","Cornmeal","[""kg""]","","","","",""
